SlNo,Feature,Story number,Description (Card),Acceptance Criteria (Confirmation)
1,User Management,US001,"As a user, I want to register with username, password, and role so that I can access the system","Username must be unique; Role must be admin/seller/buyer; Registration should not create a session; System confirms registration"
2,Authentication & Session,US002,"As a registered user, I want to login/logout so that I can securely access the system","Valid credentials allow login; Invalid credentials show error; Only one active session allowed; Logout clears session; Non-logged users cannot access protected features"
3,Car Management,US003,"As an admin/seller, I want to add, update, and delete cars so that I can manage listings","Only admin/seller allowed; Car ID must be unique; Updates reflect immediately; Unauthorized users denied"
4,Browse Cars,US004,"As a logged-in user, I want to browse available cars so that I can explore options","Only logged-in users can browse; Only available cars displayed; Data should be accurate"
5,Car Details & Tracking,US005,"As a user, I want to view car details so that I can make a decision","Valid car ID shows details; Invalid ID shows error; View count increments on each view; Recently viewed list updated"
6,Purchase & Order System,US006,"As a buyer/admin, I want to purchase a car so that I can own it","Only buyer/admin allowed; Car must be available; After purchase car becomes unavailable; Order created with user mapping; Fraud alert triggered if purchase count > 3"
7,Wishlist Management,US007,"As a buyer/admin, I want to manage my wishlist so that I can track preferred cars","Only buyer/admin allowed; Cars can be added/removed; Removing non-existing item handled; Wishlist accessible only after login"
8,Recent Activity,US008,"As a user, I want to view recently viewed cars so that I can revisit them","Recent list updated on each view; Shows history per session; Only logged-in users can access"
9,Order Tracking,US009,"As a user, I want to view my orders so that I can track purchases","User can see only their orders; Orders linked to username; Shows order ID, car ID, and status"
10,Admin Order View,US010,"As an admin, I want to view all orders so that I can monitor transactions","Only admin allowed; Displays all orders; Proper message if no orders exist"
11,Car Comparison,US011,"As a user, I want to compare two cars so that I can choose better","Both car IDs must exist; Displays both car details; Error shown if any car not found"
12,Popular Cars,US012,"As a user, I want to see popular cars so that I can identify trending options","Cars sorted by view count; Top 5 displayed if available; Only logged-in users can access"
13,Feedback System,US013,"As a user, I want to submit feedback so that I can share my experience","Only logged-in users can submit feedback; Feedback stored with username; Confirmation shown after submission"
14,Admin Feedback View,US014,"As an admin, I want to view all feedback so that I can analyze user input","Only admin allowed; Displays all feedback; Proper message if no feedback exists"
