SlNo,Feature,Story Number,Description (Card),Acceptance Criteria (Confirmation)
1,Storing User Data – SQL,US001,"As a developer, I want to create a table to store user profile information so that the system can manage buyer and seller accounts.","* The users table should have columns for user_id, full_name, email, mobile_number, password, city, role, and registration_date.
- user_id: VARCHAR(20), Primary Key
- full_name: VARCHAR(50), NOT NULL
- email: VARCHAR(100), NOT NULL, UNIQUE
- mobile_number: VARCHAR(15), NOT NULL
- password: VARCHAR(30), NOT NULL
- city: VARCHAR(30), NOT NULL
- role: ENUM('buyer', 'seller'), NOT NULL
- registration_date: DATE, DEFAULT CURRENT_DATE

* Set the user_id column as the primary key.
* Add a UNIQUE constraint on the email column to prevent duplicate registrations.
* Create the table script as an .sql file.
* Insert 5 users' information (at least 3 buyers and 2 sellers) to this table. Create the insert script for the same. Also save it as a users.sql file.
* This maps to Frontend US001 (Registration) and US002/US003 (Login)."
2,Storing Car Listings – SQL,US002,"As a developer, I want to create a table to store car listing information so that sellers can list their cars for sale.","* The SQL table should be named cars.
The table should have columns for:
- car_id: INT, Primary Key, AUTO_INCREMENT
- make: VARCHAR(30), NOT NULL
- model: VARCHAR(30), NOT NULL
- year: INT, NOT NULL, CHECK (year >= 2000 AND year <= 2026)
- price: DECIMAL(10,2), NOT NULL, CHECK (price >= 25000 AND price <= 10000000)
- mileage: INT, NOT NULL, CHECK (mileage >= 0 AND mileage <= 500000)
- fuel_type: ENUM('Petrol', 'Diesel', 'CNG', 'Electric'), NOT NULL
- transmission: ENUM('Manual', 'Automatic'), NOT NULL
- color: VARCHAR(20), NOT NULL
- seller_id: VARCHAR(20), NOT NULL, FOREIGN KEY referencing users(user_id)
- status: ENUM('available', 'sold'), DEFAULT 'available'
- listing_date: DATE, DEFAULT CURRENT_DATE
- view_count: INT, DEFAULT 0

* The car_id should auto-increment with each new entry.
* The seller_id must reference an existing user with role 'seller'.
* Create the table script as an .sql file.
* Insert 10 car listings to this table with varied makes, years, prices, and fuel types. Save it as a cars.sql file.
* This maps to Frontend US006 (Car Listings) and US008 (Add Car)."
3,Insert Car Listing – SQL,US003,"As a developer, I want to insert car listing data into the cars table so that new listings appear on the marketplace.","* Prepare SQL INSERT statements to add car data to the cars table.
The information for each car should include:
- make, model, year, price, mileage, fuel_type, transmission, color, seller_id, status, listing_date
- car_id is auto-generated
- view_count defaults to 0

* Insert 10 cars with diverse data covering:
- At least 4 different makes (Maruti, Hyundai, Honda, Toyota, Tata)
- At least 3 different fuel types
- Prices ranging from 50000 to 5000000
- Years ranging from 2005 to 2024
- Both Manual and Automatic transmissions

* Validate that all seller_id values reference existing users with role = 'seller'.
* Save the insert script as cars_insert.sql file.
* This maps to Frontend US008 (Add Car Listing)."
4,Storing Purchase Information – SQL,US004,"As a developer, I want to create a table to store purchase transactions so that car sales are tracked in the system.","* Prepare a SQL query to create table to store purchase information. The SQL table should be named purchases.
The table should have columns for:
- purchase_id: INT, Primary Key, AUTO_INCREMENT
- car_id: INT, NOT NULL, FOREIGN KEY referencing cars(car_id)
- buyer_id: VARCHAR(20), NOT NULL, FOREIGN KEY referencing users(user_id)
- seller_id: VARCHAR(20), NOT NULL, FOREIGN KEY referencing users(user_id)
- purchase_date: DATE, NOT NULL, DEFAULT CURRENT_DATE
- amount: DECIMAL(10,2), NOT NULL
- payment_method: ENUM('Cash', 'Bank Transfer', 'EMI'), NOT NULL

* The purchase_id should auto-increment with each new entry.
* Both buyer_id and seller_id must reference existing users.
* Insert 5 purchase records into this table. Create the insert script and save as purchases.sql file.
* This maps to Frontend US012 (Purchase Car) and US014 (Purchase History)."
5,Storing Wishlist Data – SQL,US005,"As a developer, I want to create a table to store wishlist information so that buyers can save cars they are interested in.","* The SQL table should be named wishlists.
The table should have columns for:
- wishlist_id: INT, Primary Key, AUTO_INCREMENT
- user_id: VARCHAR(20), NOT NULL, FOREIGN KEY referencing users(user_id)
- car_id: INT, NOT NULL, FOREIGN KEY referencing cars(car_id)
- added_date: DATETIME, DEFAULT CURRENT_TIMESTAMP

* Add a UNIQUE constraint on the combination of (user_id, car_id) to prevent duplicate wishlist entries for the same car by the same user.
* The wishlist_id should auto-increment with each new entry.
* Insert 5 wishlist entries to this table. Save the insert script as wishlists.sql file.
* This maps to Frontend US009 (Wishlist Page)."
6,Storing Reviews and Ratings – SQL,US006,"As a developer, I want to create a table to store seller reviews and ratings so that buyers can rate sellers after purchase.","* The SQL table should be named reviews.
The table should have columns for:
- review_id: INT, Primary Key, AUTO_INCREMENT
- seller_id: VARCHAR(20), NOT NULL, FOREIGN KEY referencing users(user_id)
- buyer_id: VARCHAR(20), NOT NULL, FOREIGN KEY referencing users(user_id)
- purchase_id: INT, NOT NULL, FOREIGN KEY referencing purchases(purchase_id)
- rating: INT, NOT NULL, CHECK (rating >= 1 AND rating <= 5)
- comment: VARCHAR(200)
- review_date: DATE, DEFAULT CURRENT_DATE

* Add a UNIQUE constraint on purchase_id to ensure a buyer can only submit one review per purchase.
* The review_id should auto-increment with each new entry.
* Insert 5 review records with varied ratings (1 to 5). Save as reviews.sql file.
* This maps to Frontend US013 (Seller Reviews and Ratings)."
7,Storing Car Views (Recently Viewed) – SQL,US007,"As a developer, I want to create a table to track car views so that the system can display recently viewed cars and view counts.","* The SQL table should be named car_views.
The table should have columns for:
- view_id: INT, Primary Key, AUTO_INCREMENT
- user_id: VARCHAR(20), NOT NULL, FOREIGN KEY referencing users(user_id)
- car_id: INT, NOT NULL, FOREIGN KEY referencing cars(car_id)
- viewed_at: DATETIME, DEFAULT CURRENT_TIMESTAMP

* The view_id should auto-increment with each new entry.
* Insert 10 car view records with varying users and cars. Save as car_views.sql file.
* This table supports both the Recently Viewed feature (Frontend US010) and the View Count tracking on Car Listings (Frontend US006)."
8,Storing Feedback – SQL,US008,"As a developer, I want to create a table to store user feedback and support queries so that customer concerns are recorded.","* The SQL table should be named feedbacks.
The table should have columns for:
- feedback_id: INT, Primary Key, AUTO_INCREMENT
- user_id: VARCHAR(20), NOT NULL, FOREIGN KEY referencing users(user_id)
- subject: ENUM('General Inquiry', 'Report a Bug', 'Report Fraud', 'Feedback', 'Other'), NOT NULL
- message: VARCHAR(500), NOT NULL
- submitted_date: DATETIME, DEFAULT CURRENT_TIMESTAMP

* The feedback_id should auto-increment with each new entry.
* Insert 3 feedback entries. Save the script as feedbacks.sql file.
* This maps to Frontend US015 (Contact Support and Help)."
9,Car Health Score Calculation – SQL,US009,"As a developer, I want to calculate a car health score using SQL so that buyers can assess car condition from the database.","* Prepare a SQL SELECT query that calculates the health score for each car using the formula:
  health_score = 100 - (YEAR(CURDATE()) - year) * 3 - (mileage / 10000) * 2
  The score should be clamped between 0 and 100 using GREATEST and LEAST functions.

* The query should display:
- car_id, make, model, year, mileage, price
- calculated health_score
- A health_grade column using CASE:
  - 'Excellent' when health_score >= 70
  - 'Good' when health_score >= 40 AND health_score < 70
  - 'Poor' when health_score < 40

* Order results by health_score DESC.
* Only include cars where status = 'available'.
* This maps to Frontend US004 (Featured Cars sorted by Health Score) and US007 (Car Details Health Score display)."
10,Fraud Detection Flag – SQL,US010,"As a developer, I want to detect potentially fraudulent car listings using SQL so that buyers are warned about suspicious pricing.","* Prepare a SQL query that identifies cars whose price deviates more than 40% below the average price for the same make and year.

* Step 1 - Calculate average price per make and year:
  SELECT make, year, AVG(price) AS avg_price FROM cars GROUP BY make, year

* Step 2 - Flag fraudulent listings using a subquery or CTE:
  SELECT c.car_id, c.make, c.model, c.year, c.price, avg_tbl.avg_price,
  ROUND(((avg_tbl.avg_price - c.price) / avg_tbl.avg_price) * 100, 2) AS price_deviation_pct,
  CASE WHEN c.price < avg_tbl.avg_price * 0.60 THEN 'FLAGGED' ELSE 'NORMAL' END AS fraud_flag
  FROM cars c JOIN (SELECT make, year, AVG(price) AS avg_price FROM cars GROUP BY make, year) avg_tbl
  ON c.make = avg_tbl.make AND c.year = avg_tbl.year
  WHERE c.status = 'available'

* The query should show car details alongside the average market price and the percentage deviation.
* This maps to Frontend US006 (Fraud Warning badge) and US007 (Fraud Detection Section)."
